student_id,department,year_level,gpa,avg_cs_grade,programming_languages,frameworks_tools,interests,preferred_difficulty,past_projects,num_past_projects,past_project_grades
STU-0001,Cybersecurity,3,3.25,2.96,"Linux, Python","FTK, EnCase, MISP, Wireshark, OpenCTI, Autopsy","digital forensics, threat intelligence, malware analysis",Medium,Timeline Analysis Tool for Digital Investigation; Social Engineering Assessment Platform for Human Risk Analysis; Compliance Report Generator for Regulatory Reporting; Polymorphic Malware Classification Using Machine Learning Techniques,4,3.24; 2.94; 3.44; 3.6
STU-0002,Software Engineering,3,3.04,3.46,"C++, Kotlin, Dart","Git, Android Studio, React Native, Blender","game development, mobile development",Medium,Mixed Reality Integration for MR Applications; Game State Manager for Game Logic; Multiplayer Synchronization for Network Gaming; Accessible Form Builder; Patient Risk Stratification Model for Clinical Decision Support,5,2.78; 2.88; 3.06; 3.06; 3.51
STU-0003,Software Engineering,3,4.08,3.75,"Python, Java, CSS, HTML, JavaScript","Webpack, Git, React, Vue.js, React Native","progressive web apps, mobile development, web development",Medium,Message Replay for Message Reprocessing; Rollback Automation System for Failed Deployments; Sleep Tracker for Sleep Monitoring,3,3.69; 3.82; 4.32
STU-0004,Computer Science,3,2.7,3.26,"C++, Python","Graph-tool, Git, Linux, OR-Tools","graph algorithms, optimization, neural networks",Easy,Chart Generator for Visual Analytics,1,2.66
STU-0005,Software Engineering,4,2.45,2.21,"HTML, CSS, JavaScript","Webpack, Git, React, Vue.js, Docker, VS Code","progressive web apps, UI/UX design",Easy,Heatmap Generation for User Behavior Analysis; Legacy System Integration Framework for System Interoperability,2,2.41; 2.59
STU-0006,Software Engineering,4,1.97,1.84,"Java, Go, JavaScript","Kubernetes, Terraform, Git, Spring Boot, RabbitMQ","microservices, cloud computing, devops",Easy,Data Cleaning and Preprocessing Tool for Data Quality; Cloud Data Encryption Framework for Data Protection; Message Queue System Implementation for Asynchronous Processing; Virtual Classroom Platform for Online Learning; Social Network Application Framework for Community Building; Code Coverage Analysis Framework for Test Coverage Metrics,6,2.42; 1.93; 1.73; 2.24; 2.11; 2.61
STU-0007,Software Engineering,3,2.87,2.56,"Python, Java, Kotlin, Dart, Swift","Android SDK, iOS SDK, Git, React","mobile development, e-commerce, API development",Easy,Automated Accessibility Report Generator; Activity Feed for User Activities; E-Commerce Platform Development for Online Sales,3,2.11; 3.07; 2.89
STU-0008,Software Engineering,4,3.36,3.54,"Python, Java, Go, JavaScript, PHP","Git, React, Spring Boot, Shopify, Django","e-commerce, microservices",Medium,Social Graph Framework for Relationship Modeling; SMS Service Integration for Text Messaging; Inclusive Component Library; Reminder Application for Task Reminders; Event-Driven Integration for Event-Based Coupling; Poll Application for Quick Polling,6,3.56; 3.3; 3.05; 3.58; 3.32; 2.75
STU-0009,Computer Science,4,2.74,2.22,"Java, C++, Python","Git, NumPy, Docker, Linux, Jupyter, SciPy, TensorFlow","algorithms, neural networks, optimization",Medium,Genetic Algorithm Framework for Evolutionary Optimization; Epipolar Geometry Framework for Stereo Matching; Quantum Machine Learning Framework for Quantum ML; Video Stabilization Algorithm for Smooth Playback,4,2.8; 2.9; 2.69; 3.16
STU-0010,Computer Science,4,2.03,2.42,"R, Python","Pandas, Git, Scikit-learn, NumPy, Linux, Jupyter, Weka, SQL","data mining, recommendation systems, neural networks",Medium,Active Site Identification Algorithm; Neural Network Architecture for Multi-layer Classification Using Deep Learning; Cell-Cell Communication Analysis; Property Valuation and Real Estate Analytics,4,1.94; 1.86; 1.78; 1.69
