project_id,title,description,category,department,difficulty,required_skills,tech_stack,research_area,research_tags,avg_grade_given,times_selected
COS-ML-001,Comparative Analysis of Classification Algorithms for Email Spam Detection Using Machine Learning,A project focused on comparative analysis of classification algorithms for email spam detection using machine learning,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Python, Matplotlib, Pandas, Scikit-learn, NumPy",Artificial Intelligence,"classification, comparative, feature engineering, machine learning, neural networks, python programming",3.68,3
COS-ML-002,Prediction of Student Academic Performance Using Machine Learning Ensemble Methods,A project focused on prediction of student academic performance using machine learning ensemble methods,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Python, NumPy, Matplotlib, Pandas, Scikit-learn",Artificial Intelligence,"classification, machine learning, prediction, python programming, reinforcement learning, student",3.03,12
COS-ML-003,Binary Classification System for Medical Disease Diagnosis: A Healthcare Analytics Approach,A project focused on binary classification system for medical disease diagnosis: a healthcare analytics approach,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Matplotlib, NumPy, Python",Artificial Intelligence,"binary, classification, generative ai, machine learning, python programming, regression",3.81,17
COS-ML-004,Ensemble Methods for Breast Cancer Classification and Risk Assessment in Medical Informatics,A project focused on ensemble methods for breast cancer classification and risk assessment in medical informatics,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","NumPy, Pandas, Scikit-learn, Python, Matplotlib",Artificial Intelligence,"classification, deep learning, ensemble, machine learning, methods, prediction",3.36,3
COS-ML-005,Multiclass Classification Approach to Heart Disease Prediction Using Machine Learning,A project focused on multiclass classification approach to heart disease prediction using machine learning,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Matplotlib, Pandas, Python, Scikit-learn",Artificial Intelligence,"classification, deep learning, machine learning, multiclass, prediction, python programming",3.83,6
COS-ML-006,Support Vector Machine Implementation for Iris Flower Classification: A Comparative Study,A project focused on support vector machine implementation for iris flower classification: a comparative study,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Pandas, Scikit-learn, Matplotlib, Python, NumPy",Artificial Intelligence,"classification, deep learning, machine learning, model interpretability, python programming, regression",3.23,15
COS-ML-007,Decision Tree Analysis for Wine Quality Assessment Using Supervised Learning,A project focused on decision tree analysis for wine quality assessment using supervised learning,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","NumPy, Pandas, Scikit-learn",Artificial Intelligence,"classification, clustering, decision, machine learning, model interpretability, neural networks",3.21,7
COS-ML-008,Naive Bayes Classifier for Text Document Categorization and Topic Classification,A project focused on naive bayes classifier for text document categorization and topic classification,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Python, Scikit-learn, Pandas, Matplotlib",Artificial Intelligence,"bayes, classification, machine learning, naive, pattern recognition, prediction",3.99,6
COS-ML-009,Random Forest Ensemble for Feature Importance Analysis in Predictive Modeling,A project focused on random forest ensemble for feature importance analysis in predictive modeling,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Matplotlib, Scikit-learn, Pandas, NumPy, Python",Artificial Intelligence,"classification, forest, machine learning, python programming, random, transfer learning",3.32,14
COS-ML-010,Gradient Boosting Framework for Predictive Analytics in Business Intelligence,A project focused on gradient boosting framework for predictive analytics in business intelligence,Classification,Computer Science,Easy,"Python, Scikit-learn, Pandas, NumPy, Matplotlib","Python, Scikit-learn, Pandas, NumPy",Artificial Intelligence,"boosting, classification, ensemble methods, gradient, machine learning, pattern recognition",3.88,9
